User ID,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use
U08842,33,Female,Lucknow,Nokia,iOS,4.3,5.6,88.7,165,1.7,3515,4.6,1.8,362,Work
U08843,40,Female,Delhi,Motorola,Android,1.2,39.4,284.1,135,2.0,9108,5.4,3.7,1587,Gaming
U08844,19,Female,Pune,Nokia,iOS,10.8,40.2,77.1,173,4.6,9575,2.4,4.9,462,Social Media
U08845,46,Male,Hyderabad,Samsung,Android,6.8,18.3,183.6,120,4.6,6835,5.4,2.0,1048,Education
U08846,27,Other,Bangalore,Vivo,Android,3.9,42.5,165.2,168,5.8,2884,3.7,0.3,867,Work
U08847,50,Other,Mumbai,Realme,iOS,5.7,10.6,68.4,113,4.0,9932,4.4,1.9,1093,Education
U08848,60,Male,Pune,Samsung,iOS,9.7,20.5,74.6,193,5.5,6515,0.9,1.2,1663,Gaming
U08849,55,Male,Lucknow,Oppo,iOS,9.6,49.4,87.2,106,3.0,6001,3.9,1.8,1262,Entertainment
U08850,58,Female,Delhi,Oppo,Android,9.9,14.2,194.6,96,2.3,7592,5.3,3.2,901,Entertainment
U08851,31,Female,Bangalore,Vivo,Android,1.8,47.0,174.3,80,4.6,8025,6.5,3.9,156,Entertainment
U08852,31,Other,Jaipur,Nokia,Android,7.1,36.1,121.1,200,5.8,4597,1.0,3.5,1979,Entertainment
U08853,18,Male,Hyderabad,Google Pixel,Android,7.6,43.6,228.3,191,1.2,2661,4.0,2.3,223,Education
U08854,33,Female,Bangalore,Samsung,iOS,6.8,4.1,172.8,76,0.5,1130,1.7,0.2,1940,Entertainment
U08855,50,Other,Delhi,Realme,Android,10.9,13.3,286.0,97,1.2,2554,5.4,2.8,1592,Gaming
U08856,35,Male,Delhi,Nokia,Android,3.1,48.1,76.6,109,1.9,4580,2.4,0.9,1209,Social Media
U08857,49,Male,Jaipur,Oppo,Android,3.2,14.2,67.4,194,1.4,7413,3.1,0.8,1590,Education
U08858,49,Female,Ahmedabad,Samsung,Android,9.1,46.0,20.4,171,1.5,2680,7.9,2.5,1563,Education
U08859,44,Other,Delhi,Nokia,iOS,6.6,34.8,177.7,190,3.6,5837,2.7,4.6,1287,Entertainment
U08860,39,Female,Pune,Xiaomi,Android,2.8,30.2,228.1,121,1.0,2063,6.1,2.7,1061,Gaming
U08861,43,Male,Ahmedabad,Apple,iOS,10.0,16.7,136.1,61,5.4,2717,2.0,1.4,1065,Social Media
U08862,25,Other,Chennai,Apple,iOS,7.6,3.0,43.7,72,3.6,4408,7.6,1.6,648,Education
U08863,34,Male,Ahmedabad,Apple,iOS,10.2,27.7,73.7,121,6.0,270,3.4,3.6,370,Education
U08864,27,Female,Jaipur,Samsung,iOS,10.7,42.6,29.1,123,2.2,7393,4.7,2.5,688,Social Media
