User ID,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use
U00001,53,Male,Mumbai,Vivo,Android,3.7,23.9,37.9,104,3.9,469,5.2,4.1,803,Education
U00002,60,Other,Delhi,Realme,iOS,9.2,28.1,13.7,169,2.8,4997,5.1,0.4,1526,Gaming
U00003,37,Female,Ahmedabad,Nokia,Android,4.5,12.3,66.8,96,3.0,2381,1.7,2.9,1619,Entertainment
U00004,32,Male,Pune,Samsung,Android,11.0,25.6,156.2,146,5.2,1185,3.2,0.3,1560,Entertainment
U00005,16,Male,Mumbai,Xiaomi,iOS,2.2,2.5,236.2,86,5.5,106,3.4,2.3,742,Social Media
U00006,21,Male,Jaipur,Oppo,iOS,5.4,10.6,210.6,25,4.2,6285,0.6,4.8,1749,Entertainment
U00007,57,Female,Lucknow,Apple,iOS,6.0,35.2,154.5,123,0.8,2653,2.9,2.3,1073,Social Media
U00008,56,Other,Kolkata,Realme,iOS,3.1,43.5,125.3,188,2.3,9767,5.2,5.0,1136,Entertainment
U00009,46,Female,Kolkata,Oppo,Android,5.3,46.4,21.3,194,3.7,2870,6.1,2.8,1253,Entertainment
U00010,44,Other,Kolkata,Apple,iOS,9.9,10.6,180.2,84,4.8,9193,7.6,0.4,168,Education
U00011,55,Other,Lucknow,Nokia,Android,1.6,23.7,192.0,27,3.1,9330,1.2,2.3,1098,Work
U00012,41,Female,Delhi,Oppo,Android,7.5,23.5,84.9,187,0.9,643,3.5,2.7,151,Social Media
U00013,53,Male,Bangalore,Realme,iOS,10.5,1.4,33.7,137,4.5,7854,7.2,1.4,240,Education
U00014,35,Male,Jaipur,Realme,Android,10.3,32.4,247.1,124,5.2,3347,3.8,4.5,972,Social Media
U00015,33,Female,Jaipur,Samsung,iOS,1.7,33.2,208.8,121,3.0,3185,4.2,0.5,1046,Entertainment
U00016,52,Male,Bangalore,Google Pixel,Android,5.1,28.5,169.2,161,4.6,6175,4.4,4.3,1769,Work
U00017,46,Other,Mumbai,Apple,Android,3.1,23.6,153.9,183,2.5,6242,6.2,0.4,1679,Education
U00018,54,Male,Kolkata,Apple,Android,11.6,12.6,210.4,62,4.9,4642,0.9,4.1,1360,Entertainment
U00019,50,Female,Chennai,Google Pixel,Android,5.3,5.2,235.6,188,4.6,1120,1.0,0.8,1639,Work
U00020,40,Other,Hyderabad,Motorola,iOS,9.0,38.9,289.6,62,2.4,8012,7.7,2.0,1224,Work
U00021,60,Male,Pune,Samsung,iOS,10.4,46.0,38.0,110,3.0,511,6.8,1.3,311,Social Media
U00022,59,Other,Pune,Xiaomi,Android,11.7,9.1,203.9,101,5.8,2579,2.6,4.1,446,Gaming
U00023,46,Other,Chennai,Samsung,Android,8.1,15.5,206.8,77,5.9,1776,3.4,2.5,899,Social Media
U00024,16,Female,Hyderabad,Vivo,Android,1.4,25.5,222.0,141,1.6,1119,2.8,0.4,1118,Gaming
U00025,29,Female,Bangalore,Realme,Android,7.0,41.7,51.0,130,1.4,2604,3.5,1.6,1154,Education
U00026,36,Male,Hyderabad,Vivo,iOS,5.6,47.4,155.4,123,5.9,1886,2.3,3.0,955,Work
U00027,15,Male,Delhi,Vivo,Android,9.2,42.7,230.9,180,0.5,4611,1.0,2.5,210,Gaming
U00028,41,Other,Jaipur,Realme,Android,8.1,44.1,81.8,25,1.9,5545,5.7,3.7,1488,Education
U00029,51,Female,Kolkata,Vivo,iOS,10.7,45.1,94.0,127,3.5,2293,6.7,5.0,333,Education
U00030,45,Female,Hyderabad,Realme,Android,6.3,34.5,244.3,125,5.0,1647,5.9,0.2,1541,Entertainment
U00031,39,Female,Jaipur,Motorola,Android,4.0,9.4,194.2,32,1.5,8314,6.7,3.5,447,Entertainment
U00032,40,Female,Lucknow,OnePlus,Android,8.4,25.7,262.8,174,1.3,3010,4.9,3.0,419,Education
U00033,28,Female,Chennai,Xiaomi,iOS,5.3,16.8,264.9,84,1.3,9222,7.2,3.0,1699,Social Media
U00034,23,Female,Chennai,Motorola,Android,11.4,48.4,216.8,98,3.2,5026,2.7,4.9,1079,Gaming
U00035,57,Male,Delhi,Vivo,iOS,4.1,31.2,61.5,149,5.1,386,3.9,1.0,1935,Social Media
U00036,23,Female,Ahmedabad,Vivo,iOS,10.7,29.0,9.0,175,2.9,633,6.4,0.0,1345,Social Media
U00037,56,Other,Kolkata,Nokia,Android,9.4,42.1,246.7,113,4.9,498,0.9,4.3,982,Work
U00038,20,Other,Chennai,Samsung,iOS,11.9,45.5,195.8,150,4.1,479,5.6,1.7,169,Education
U00039,22,Other,Kolkata,Google Pixel,Android,1.6,34.1,6.0,153,5.8,5175,5.7,2.2,805,Work
U00040,19,Male,Kolkata,Apple,iOS,5.5,2.9,212.5,129,5.6,8514,7.9,0.8,647,Education
U00041,49,Other,Lucknow,Samsung,iOS,5.2,43.4,151.8,114,5.6,3826,6.8,3.1,1192,Social Media
U00042,54,Male,Ahmedabad,Vivo,iOS,2.2,22.0,30.8,156,1.8,8307,1.1,3.0,1788,Social Media
U00043,40,Male,Bangalore,Vivo,iOS,2.5,10.6,219.1,113,1.8,238,0.9,2.2,1924,Work
U00044,52,Female,Kolkata,Xiaomi,iOS,4.4,33.8,189.3,44,3.8,1869,3.6,2.4,1382,Social Media
U00045,42,Other,Mumbai,Google Pixel,iOS,4.2,3.4,171.6,108,3.3,5178,1.3,4.8,322,Education
U00046,23,Other,Hyderabad,Samsung,iOS,4.3,26.4,210.5,53,5.3,1250,7.5,0.6,314,Entertainment
U00047,51,Other,Mumbai,Samsung,iOS,10.7,17.6,293.4,65,5.2,3313,1.8,1.3,1319,Education
U00048,19,Male,Bangalore,Realme,iOS,3.1,24.8,82.1,75,3.9,1396,2.0,1.6,1245,Social Media
U00049,52,Other,Delhi,Xiaomi,Android,1.5,41.0,95.5,140,5.5,8029,5.0,0.1,802,Social Media
U00050,17,Other,Lucknow,Apple,iOS,4.7,30.4,157.7,187,2.6,9189,4.3,4.9,801,Entertainment
U00051,31,Female,Ahmedabad,Nokia,iOS,10.4,41.1,32.5,171,3.5,7702,7.1,0.8,1833,Education
U00052,49,Other,Jaipur,OnePlus,Android,8.6,46.0,181.8,154,1.6,4264,7.5,0.4,1142,Social Media
U00053,21,Male,Delhi,Motorola,iOS,9.4,15.4,10.6,34,2.5,3130,2.5,4.8,1882,Education
U00054,51,Male,Lucknow,OnePlus,iOS,5.4,15.8,115.7,115,3.2,2929,3.0,2.7,1772,Social Media
U00055,32,Other,Mumbai,Vivo,iOS,5.8,27.5,30.0,193,4.0,948,5.6,4.6,122,Social Media
U00056,43,Other,Bangalore,Xiaomi,iOS,8.6,14.4,275.5,27,4.7,9544,3.6,3.4,1395,Work
U00057,25,Male,Bangalore,OnePlus,Android,5.6,38.0,296.5,40,1.5,799,1.0,2.4,1831,Work
U00058,16,Female,Pune,Nokia,iOS,9.0,7.1,142.9,164,4.9,6088,2.1,1.9,686,Work
U00059,49,Male,Pune,Motorola,iOS,3.4,17.0,235.4,52,2.8,7018,7.3,4.7,2000,Education
U00060,35,Male,Hyderabad,Xiaomi,iOS,3.0,8.3,253.1,18,2.5,9494,3.1,4.6,479,Gaming
U00061,49,Male,Pune,Apple,Android,4.5,1.9,54.5,197,4.3,3575,6.7,0.0,679,Entertainment
U00062,34,Female,Kolkata,Apple,iOS,3.5,20.6,134.0,73,5.6,2918,3.0,1.0,329,Entertainment
U00063,38,Other,Jaipur,Oppo,iOS,1.3,9.0,119.7,36,2.0,5666,4.0,4.1,1605,Education
U00064,38,Female,Ahmedabad,OnePlus,iOS,3.2,13.2,206.3,31,3.2,3342,4.2,0.3,1005,Work
U00065,41,Female,Delhi,Realme,Android,2.5,9.3,111.0,69,0.6,2918,6.5,1.9,1699,Education
U00066,41,Female,Bangalore,Samsung,iOS,8.3,19.4,194.5,25,5.8,9918,5.3,3.5,782,Education
U00067,30,Female,Ahmedabad,Samsung,Android,1.7,10.4,74.0,64,2.5,468,4.9,4.1,1361,Work
U00068,43,Male,Kolkata,Google Pixel,iOS,3.0,24.3,151.7,143,1.1,4443,6.3,0.3,546,Education
U00069,40,Female,Kolkata,Samsung,Android,4.2,28.1,8.9,62,4.1,8932,7.3,0.8,209,Social Media
U00070,18,Male,Delhi,Oppo,iOS,5.3,10.4,257.0,116,2.3,4368,7.6,4.2,1359,Gaming
U00071,24,Female,Delhi,Apple,iOS,11.2,14.7,241.5,158,1.4,563,2.3,3.5,1845,Work
U00072,51,Female,Lucknow,Oppo,Android,11.9,47.8,21.5,68,4.3,7945,2.3,3.8,1749,Social Media
U00073,23,Other,Kolkata,Motorola,iOS,5.2,34.6,159.3,140,4.3,5816,7.8,2.8,1406,Gaming
U00074,43,Other,Kolkata,Realme,Android,6.9,3.0,74.6,117,3.1,1883,5.2,1.8,108,Gaming
U00075,31,Male,Ahmedabad,Google Pixel,iOS,6.8,26.2,74.5,150,5.1,1073,1.1,0.8,1393,Work
U00076,56,Female,Delhi,Oppo,Android,6.1,20.7,23.2,117,1.6,3672,3.2,2.1,430,Gaming
U00077,51,Female,Ahmedabad,Samsung,iOS,9.2,45.9,294.0,129,3.7,5449,1.0,3.8,1222,Entertainment
U00078,19,Other,Kolkata,Motorola,iOS,6.0,42.2,193.0,101,3.1,4606,2.2,3.9,705,Entertainment
U00079,26,Other,Pune,Xiaomi,iOS,11.1,1.3,51.9,52,0.6,1308,4.7,1.1,1104,Social Media
U00080,28,Male,Chennai,Xiaomi,iOS,5.7,49.5,98.2,190,2.1,8715,7.9,3.2,195,Gaming
U00081,37,Other,Pune,OnePlus,iOS,10.5,33.0,69.0,92,4.0,8284,1.3,4.1,781,Work
U00082,42,Other,Lucknow,Google Pixel,Android,1.8,9.2,107.6,19,3.5,4648,3.7,0.6,1691,Education
U00083,46,Other,Pune,Realme,Android,10.0,30.8,105.6,179,3.9,3003,4.9,2.4,472,Entertainment
U00084,52,Male,Jaipur,Samsung,iOS,5.0,46.6,127.1,56,4.6,7151,4.1,2.2,554,Education
U00085,23,Female,Hyderabad,Samsung,Android,4.5,44.3,298.9,166,2.2,9243,1.2,4.4,1355,Entertainment
U00086,25,Female,Hyderabad,Nokia,Android,5.0,26.4,216.9,78,4.0,3751,1.7,4.4,1249,Entertainment
U00087,39,Female,Ahmedabad,Nokia,Android,2.4,14.6,9.5,84,1.6,1401,3.6,2.0,1081,Education
U00088,43,Other,Lucknow,Vivo,iOS,11.4,45.5,215.1,28,1.1,6568,7.4,0.5,505,Social Media
U00089,39,Male,Jaipur,Samsung,Android,8.8,40.8,237.2,190,2.8,5779,6.6,1.3,1767,Social Media
U00090,38,Male,Lucknow,Oppo,Android,1.8,49.9,87.3,95,5.2,5891,6.4,0.1,1401,Gaming
U00091,46,Other,Lucknow,Motorola,Android,6.7,15.8,120.9,187,1.2,2427,6.4,2.5,1186,Gaming
U00092,33,Male,Jaipur,Vivo,Android,10.9,38.0,273.4,198,3.0,305,5.1,2.7,324,Education
U00093,51,Other,Delhi,Nokia,Android,10.5,28.4,182.7,86,1.2,1305,7.1,1.7,1479,Gaming
U00094,57,Other,Pune,Nokia,iOS,10.8,39.2,28.6,126,4.0,526,4.7,1.2,1610,Entertainment
U00095,59,Male,Pune,Google Pixel,Android,2.3,11.6,52.3,136,2.9,6699,1.5,4.2,1239,Entertainment
U00096,21,Other,Kolkata,Vivo,Android,7.2,29.6,180.6,88,1.4,9995,1.1,0.4,1727,Gaming
U00097,17,Other,Hyderabad,Motorola,Android,11.8,35.2,111.2,140,0.7,856,7.0,2.0,1474,Entertainment
U00098,22,Male,Mumbai,Google Pixel,Android,8.0,12.9,82.9,113,3.9,2936,4.7,0.0,443,Work
