User ID,Age,Gender,Location,Phone Brand,OS,Screen Time (hrs/day),Data Usage (GB/month),Calls Duration (mins/day),Number of Apps Installed,Social Media Time (hrs/day),E-commerce Spend (INR/month),Streaming Time (hrs/day),Gaming Time (hrs/day),Monthly Recharge Cost (INR),Primary Use
U04421,25,Other,Chennai,OnePlus,Android,3.2,26.7,189.4,13,0.9,6595,3.7,4.7,1397,Entertainment
U04422,49,Other,Jaipur,Nokia,Android,3.9,29.1,31.3,118,5.3,2618,7.7,2.8,1265,Gaming
U04423,57,Male,Ahmedabad,OnePlus,iOS,10.0,33.9,70.4,20,4.8,8127,7.5,2.5,1006,Gaming
U04424,31,Female,Chennai,Oppo,Android,2.3,3.2,126.5,107,5.2,1286,7.8,4.4,1940,Gaming
U04425,52,Other,Lucknow,Google Pixel,Android,9.8,8.7,140.0,99,5.9,6068,3.4,3.3,1227,Social Media
U04426,42,Male,Lucknow,Motorola,Android,9.6,26.4,126.6,46,4.9,7471,5.7,2.8,1501,Education
U04427,43,Other,Pune,Samsung,iOS,8.4,22.0,182.5,170,2.4,2416,7.6,1.8,1376,Entertainment
U04428,60,Other,Hyderabad,Xiaomi,iOS,5.8,25.7,287.2,194,2.9,6699,4.2,0.5,501,Social Media
U04429,52,Male,Ahmedabad,Apple,iOS,11.7,39.4,5.8,198,3.9,6131,5.8,0.2,197,Social Media
U04430,20,Female,Ahmedabad,Samsung,Android,4.7,29.1,56.4,76,1.8,3042,3.3,0.6,488,Education
U04431,49,Female,Bangalore,Google Pixel,iOS,5.3,23.9,110.9,122,2.1,5436,6.4,3.9,1489,Work
U04432,40,Other,Chennai,Samsung,iOS,8.3,43.5,107.6,49,4.5,5164,0.9,1.6,255,Gaming
U04433,39,Other,Delhi,Xiaomi,iOS,10.6,21.5,161.9,199,5.9,4407,2.8,2.9,1951,Work
U04434,48,Other,Chennai,Oppo,iOS,9.8,30.8,265.6,82,1.6,2123,3.5,2.0,1077,Education
U04435,24,Male,Bangalore,Google Pixel,iOS,11.1,9.7,49.8,109,5.9,9964,2.5,3.8,744,Work
U04436,34,Male,Chennai,Xiaomi,iOS,8.1,41.8,79.6,168,4.8,4139,0.9,4.4,236,Gaming
U04437,37,Other,Lucknow,Vivo,iOS,7.4,45.1,264.9,165,0.7,1588,3.8,0.9,191,Education
U04438,21,Female,Bangalore,Realme,iOS,1.7,14.6,239.2,170,0.9,9085,7.2,3.9,159,Gaming
U04439,50,Male,Kolkata,Nokia,iOS,3.8,25.4,6.8,144,4.3,5865,3.5,1.8,678,Education
U04440,43,Female,Lucknow,Motorola,iOS,11.2,32.6,215.9,12,5.7,8543,4.4,4.7,1803,Social Media
U04441,36,Male,Hyderabad,Apple,Android,11.7,15.8,46.6,32,1.6,3961,2.3,3.0,1106,Entertainment
U04442,28,Other,Chennai,Xiaomi,Android,7.4,13.6,167.3,198,1.2,7148,2.9,4.0,431,Social Media
U04443,35,Male,Ahmedabad,Realme,Android,9.2,31.3,95.6,28,4.9,3891,0.7,4.6,421,Entertainment
